Category: All categories

Region,depression: (2010)
Wyoming,100
North Dakota,94
South Dakota,93
Delaware,92
West Virginia,90
Nebraska,89
Iowa,89
New Mexico,87
Maine,87
Pennsylvania,86
Rhode Island,85
Michigan,83
Montana,82
Minnesota,80
Missouri,80
New Hampshire,79
Wisconsin,79
Indiana,79
Utah,77
South Carolina,77
Arkansas,77
New York,77
Ohio,76
Connecticut,76
Mississippi,76
Idaho,75
Washington,74
North Carolina,74
Massachusetts,74
Kansas,73
Illinois,73
Alabama,72
Oregon,72
Maryland,72
Alaska,72
New Jersey,72
Kentucky,71
Tennessee,71
Colorado,71
Arizona,69
Oklahoma,68
Louisiana,67
Hawaii,66
District of Columbia,66
Nevada,65
Georgia,65
Florida,64
Texas,62
Vermont,59
California,45
Virginia,37
