Category: All categories

Region,disappointment: (2007)
Washington,100
New Hampshire,97
Oregon,94
Wyoming,45
Maryland,41
District of Columbia,40
Nevada,38
North Carolina,37
Nebraska,36
New York,36
Kentucky,35
Michigan,35
Pennsylvania,34
Utah,33
Montana,32
Illinois,31
Minnesota,30
Georgia,29
Missouri,28
Arizona,28
Virginia,28
Iowa,27
California,27
Ohio,26
Massachusetts,26
South Carolina,26
Florida,25
Alaska,25
New Jersey,25
Texas,24
Indiana,23
Tennessee,23
Oklahoma,21
Wisconsin,21
Alabama,20
Connecticut,19
Colorado,16
Louisiana,14
Kansas,11
Arkansas,
Delaware,
Hawaii,
Idaho,
Maine,
Mississippi,
North Dakota,
New Mexico,
Rhode Island,
South Dakota,
Vermont,
West Virginia,
