Category: All categories

Region,Divorce: (2018)
Tennessee,100
Georgia,95
Arkansas,94
Oklahoma,93
Alabama,93
Utah,93
Mississippi,88
Indiana,88
Texas,86
Oregon,84
Kansas,83
Kentucky,83
Idaho,83
Arizona,82
Maryland,82
Colorado,81
South Carolina,81
Missouri,80
Nebraska,79
Virginia,79
Alaska,78
North Dakota,78
Illinois,78
North Carolina,78
Connecticut,78
Ohio,77
Massachusetts,76
New Jersey,76
Michigan,75
Florida,75
Minnesota,75
New York,75
Nevada,75
Washington,75
Wisconsin,74
Wyoming,74
Louisiana,73
New Hampshire,72
District of Columbia,71
Pennsylvania,71
Hawaii,71
New Mexico,70
West Virginia,70
California,69
Iowa,69
South Dakota,69
Delaware,66
Montana,65
Vermont,64
Maine,62
Rhode Island,58
