Category: All categories

Region,drug policy: (2016)
District of Columbia,100
Delaware,
West Virginia,70
North Dakota,
Maryland,63
Hawaii,
Vermont,
Iowa,56
New Mexico,56
Oklahoma,53
Idaho,52
Virginia,50
Arkansas,50
Alabama,50
Washington,50
Kentucky,50
Ohio,49
Colorado,49
Arizona,49
Oregon,48
South Dakota,
Connecticut,47
Nebraska,47
New York,47
Pennsylvania,47
Indiana,46
Massachusetts,45
Tennessee,45
North Carolina,43
Nevada,43
Alaska,
Mississippi,43
Louisiana,43
Maine,42
Kansas,42
Montana,
Missouri,41
Minnesota,41
Rhode Island,40
Wyoming,
Georgia,40
South Carolina,39
Michigan,38
Texas,38
New Jersey,38
Wisconsin,37
Illinois,37
California,35
Florida,35
Utah,34
New Hampshire,28
