Category: All categories

Region,drugs: (2014)
Hawaii,100
Vermont,63
Mississippi,63
Tennessee,56
Alabama,55
Louisiana,54
Kentucky,52
Michigan,52
West Virginia,48
Maryland,48
Pennsylvania,48
North Carolina,47
Georgia,47
New York,47
Indiana,46
Washington,46
Arizona,46
South Dakota,46
Wyoming,46
Delaware,46
New Jersey,45
Massachusetts,45
Ohio,45
South Carolina,44
Missouri,44
Arkansas,44
Illinois,44
Florida,43
Oklahoma,43
Minnesota,42
District of Columbia,42
Nevada,42
Wisconsin,42
North Dakota,42
Colorado,42
Alaska,42
Connecticut,41
Montana,41
Kansas,41
Iowa,41
Texas,40
Nebraska,40
Maine,40
California,39
Rhode Island,39
New Mexico,38
New Hampshire,38
Utah,37
Idaho,37
Virginia,34
Oregon,28
