Category: All categories

Region,Eating disorder: (2005)
New Hampshire,100
Idaho,96
Massachusetts,92
Vermont,91
Minnesota,88
Wyoming,87
Montana,86
Michigan,82
Rhode Island,82
Connecticut,80
Utah,80
Nebraska,78
Iowa,78
Pennsylvania,76
Maryland,73
Missouri,71
South Carolina,71
Arkansas,71
Colorado,70
Delaware,68
Ohio,66
Washington,64
North Carolina,63
New York,63
Tennessee,63
Indiana,62
Wisconsin,62
New Jersey,62
New Mexico,61
South Dakota,61
Hawaii,60
Oregon,59
Alaska,58
Kentucky,58
Arizona,57
Maine,56
California,54
Kansas,54
Florida,53
Illinois,53
Virginia,52
District of Columbia,52
Alabama,49
Texas,48
Georgia,48
Mississippi,45
Nevada,44
Oklahoma,42
Louisiana,33
West Virginia,25
North Dakota,
