Category: All categories

Region,exboyfriend: (2006)
Montana,
New Mexico,
Alabama,100
Massachusetts,78
Oklahoma,73
Maryland,69
Louisiana,65
Florida,47
Michigan,43
New Jersey,43
Pennsylvania,39
New York,39
Texas,26
North Carolina,26
Arizona,26
Virginia,26
California,26
Illinois,21
Georgia,17
Alaska,
Arkansas,
Colorado,
Connecticut,
District of Columbia,
Delaware,
Hawaii,
Iowa,
Idaho,
Indiana,
Kansas,
Kentucky,
Maine,
Minnesota,
Missouri,
Mississippi,
North Dakota,
Nebraska,
New Hampshire,
Nevada,
Ohio,
Oregon,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Utah,
Vermont,
Washington,
Wisconsin,
West Virginia,
Wyoming,
