Category: All categories

Region,exgirlfriend: (2009)
Montana,100
Idaho,
Nebraska,96
Maine,91
Mississippi,90
Louisiana,86
Oklahoma,85
Kentucky,79
Missouri,79
Arkansas,74
Hawaii,74
Rhode Island,
Ohio,71
Wyoming,
New Hampshire,70
Indiana,67
South Dakota,
Tennessee,64
Massachusetts,63
Iowa,62
Oregon,61
Arizona,61
Kansas,60
Pennsylvania,57
Georgia,56
North Carolina,56
Alabama,56
Texas,54
Nevada,54
Minnesota,52
South Carolina,52
West Virginia,52
Wisconsin,50
District of Columbia,50
Florida,49
New Jersey,48
Michigan,47
Alaska,
Vermont,47
Illinois,45
Washington,43
North Dakota,
Colorado,42
Utah,41
New York,41
Maryland,39
California,38
Connecticut,38
Virginia,33
New Mexico,20
Delaware,
