Category: All categories

Region,existential crisis: (2010)
South Dakota,
Montana,
Kansas,100
Oregon,50
Alaska,
New Mexico,44
Arkansas,42
Maine,39
Iowa,39
Indiana,36
District of Columbia,34
Massachusetts,26
South Carolina,26
Maryland,21
Washington,21
Kentucky,21
Pennsylvania,18
Illinois,18
Ohio,15
Connecticut,15
New Jersey,15
Michigan,15
New York,15
Wisconsin,15
California,13
Florida,13
Texas,13
Minnesota,10
Georgia,10
North Carolina,7
Colorado,5
Virginia,2
Alabama,
Arizona,
Delaware,
Hawaii,
Idaho,
Louisiana,
Missouri,
Mississippi,
North Dakota,
Nebraska,
New Hampshire,
Nevada,
Oklahoma,
Rhode Island,
Tennessee,
Utah,
Vermont,
West Virginia,
Wyoming,
