Category: All categories

Region,failure: (2006)
North Dakota,100
Arkansas,95
South Dakota,94
Illinois,92
Colorado,91
Missouri,91
Michigan,90
Maryland,90
Iowa,89
Delaware,89
Ohio,88
Wyoming,87
Nebraska,86
West Virginia,86
Texas,86
New Hampshire,86
Minnesota,85
Oklahoma,84
Virginia,83
Wisconsin,82
New Mexico,82
Kentucky,81
Kansas,80
Pennsylvania,80
Vermont,80
Florida,79
Maine,79
Montana,79
Arizona,79
Nevada,79
Indiana,78
California,77
Massachusetts,77
Alaska,76
Georgia,76
Idaho,76
New Jersey,75
Rhode Island,75
South Carolina,75
Louisiana,75
Alabama,75
North Carolina,74
Mississippi,74
Tennessee,73
New York,72
District of Columbia,72
Washington,71
Connecticut,70
Oregon,66
Utah,65
Hawaii,61
