Category: All categories

Region,faith: (2019)
Alabama,100
Mississippi,96
South Dakota,95
Georgia,86
Tennessee,86
Louisiana,85
North Carolina,82
South Carolina,80
Nebraska,79
Indiana,73
Utah,73
Montana,73
Arkansas,72
Missouri,71
Texas,71
Oklahoma,70
Kansas,69
North Dakota,66
Maryland,65
Ohio,64
Kentucky,64
Wisconsin,64
Minnesota,63
Michigan,63
Virginia,62
Iowa,62
Florida,62
New Mexico,62
Idaho,61
West Virginia,58
Arizona,58
Delaware,58
Alaska,58
Illinois,57
Nevada,56
Colorado,56
Wyoming,55
Washington,54
Pennsylvania,54
District of Columbia,54
Connecticut,53
Oregon,51
New Jersey,49
Vermont,48
Hawaii,48
California,48
Massachusetts,45
New York,45
Rhode Island,43
Maine,43
New Hampshire,42
