Category: All categories

Region,faith: (2017)
Mississippi,100
Alabama,100
Tennessee,96
South Dakota,95
Louisiana,93
Georgia,89
Utah,89
Arkansas,86
North Carolina,85
Nebraska,84
South Carolina,82
Oklahoma,81
Montana,78
Ohio,77
Missouri,76
Indiana,73
Texas,72
Kentucky,72
Idaho,72
Iowa,71
Michigan,71
North Dakota,70
Wisconsin,68
Maryland,67
Virginia,67
Kansas,65
Minnesota,65
West Virginia,64
Florida,64
Nevada,63
Alaska,63
District of Columbia,62
Delaware,61
Illinois,61
Pennsylvania,61
New Mexico,59
Washington,57
Wyoming,57
Colorado,57
Arizona,55
Oregon,53
California,52
Connecticut,52
New York,51
Hawaii,49
New Jersey,49
Massachusetts,47
Maine,46
Rhode Island,46
Vermont,45
New Hampshire,42
