Category: All categories

Region,family stress: (2007)
Montana,
Delaware,
South Dakota,
New Mexico,100
Alabama,96
Alaska,
Nevada,81
Rhode Island,
Nebraska,61
Oklahoma,57
Maine,
Mississippi,46
South Carolina,44
Louisiana,37
Kentucky,37
Iowa,35
Wisconsin,35
Illinois,33
Connecticut,33
Oregon,33
Colorado,33
Maryland,27
Missouri,27
Virginia,27
Tennessee,27
Washington,27
Texas,25
California,25
Ohio,24
Indiana,24
Pennsylvania,22
Massachusetts,20
Georgia,20
New Jersey,20
New York,18
Arizona,18
Florida,14
Minnesota,11
District of Columbia,
North Carolina,9
Arkansas,
Hawaii,
Idaho,
Kansas,
Michigan,
North Dakota,
New Hampshire,
Utah,
Vermont,
West Virginia,
Wyoming,
