Category: All categories

Region,fast death: (2010)
Delaware,
Wyoming,
New Mexico,100
Nevada,100
Alaska,
Indiana,83
Oregon,72
Nebraska,63
Kentucky,63
Oklahoma,61
Mississippi,52
Pennsylvania,52
Hawaii,
Rhode Island,
Iowa,47
Kansas,47
Louisiana,44
Utah,44
Arkansas,41
Ohio,41
Texas,38
Michigan,38
New Hampshire,38
Alabama,36
Colorado,36
Massachusetts,36
Washington,36
South Carolina,33
Illinois,33
New Jersey,30
Missouri,30
Georgia,30
New York,30
Florida,27
Tennessee,27
Maryland,25
Arizona,25
Wisconsin,22
District of Columbia,
California,19
North Carolina,19
Connecticut,13
Virginia,13
Minnesota,5
Idaho,
Maine,
Montana,
North Dakota,
South Dakota,
Vermont,
West Virginia,
