Category: All categories

Region,feeling alone: (2005)
Nevada,100
Utah,99
Wisconsin,33
Louisiana,24
Tennessee,24
Missouri,13
Massachusetts,12
Texas,12
Connecticut,11
North Carolina,9
Pennsylvania,9
Illinois,8
Florida,8
New York,7
New Jersey,6
Washington,6
Ohio,5
South Dakota,
Montana,
North Dakota,
Alaska,
Rhode Island,
Hawaii,
Mississippi,
Wyoming,
Michigan,
Maine,
Maryland,
Kentucky,
Nebraska,
New Hampshire,
Kansas,
New Mexico,
Indiana,
Idaho,
Iowa,
Oklahoma,
Oregon,
Georgia,
Delaware,
South Carolina,
District of Columbia,
Colorado,
California,
Arizona,
Virginia,
Vermont,
Arkansas,
Alabama,
West Virginia,
Minnesota,
