Category: All categories

Region,feeling alone: (2006)
Mississippi,100
Indiana,80
South Carolina,68
Iowa,56
Alabama,46
Utah,46
Maryland,38
Missouri,34
Tennessee,26
Michigan,25
New Jersey,25
Illinois,23
Virginia,23
Minnesota,18
Pennsylvania,17
Massachusetts,16
California,15
New York,14
Texas,13
Washington,13
Ohio,10
Idaho,
Maine,
New Hampshire,
District of Columbia,
Alaska,
Wyoming,
North Carolina,
North Dakota,
Nebraska,
Louisiana,
Kentucky,
New Mexico,
Nevada,
Kansas,
Hawaii,
Oklahoma,
Oregon,
Georgia,
Rhode Island,
Florida,
South Dakota,
Delaware,
Connecticut,
Colorado,
Arizona,
Vermont,
Arkansas,
Wisconsin,
West Virginia,
Montana,
