Category: All categories

Region,feeling sad: (2008)
Idaho,100
Tennessee,99
Indiana,81
Hawaii,73
Massachusetts,69
Ohio,69
Iowa,60
Nebraska,53
Oklahoma,50
Colorado,49
Washington,49
Connecticut,49
New York,48
New Jersey,48
Virginia,42
Illinois,42
Minnesota,40
Pennsylvania,38
Texas,37
Kentucky,34
North Carolina,34
Oregon,33
Maryland,33
Florida,27
Missouri,21
California,19
Michigan,19
Wisconsin,18
Arizona,14
District of Columbia,14
Georgia,13
South Dakota,
North Dakota,
Vermont,
West Virginia,
New Hampshire,
Rhode Island,
Maine,
Alaska,
Nevada,
South Carolina,
New Mexico,
Montana,
Mississippi,
Utah,
Louisiana,
Kansas,
Delaware,
Arkansas,
Alabama,
Wyoming,
