Category: All categories

Region,feeling sad: (2021)
Hawaii,100
California,76
Utah,72
Kansas,69
New Jersey,68
Connecticut,67
New Mexico,66
Massachusetts,66
Iowa,65
Arizona,65
Washington,65
Tennessee,64
Indiana,63
Maryland,63
Florida,63
Nevada,62
New York,62
Michigan,61
Virginia,61
Colorado,61
Minnesota,61
Texas,60
Louisiana,60
Wisconsin,60
Arkansas,59
Illinois,59
Oregon,59
Georgia,59
Ohio,58
Oklahoma,58
Pennsylvania,56
Kentucky,56
Mississippi,56
Idaho,52
District of Columbia,51
Missouri,50
South Carolina,47
Alabama,45
North Carolina,45
Nebraska,40
Alaska,
Montana,
Vermont,
West Virginia,
Maine,
Rhode Island,
Delaware,
South Dakota,
North Dakota,
New Hampshire,
Wyoming,
