Category: All categories

Region,firearms: (2021)
Maine,100
Wyoming,91
North Dakota,88
New Hampshire,84
Montana,78
Idaho,71
Oregon,69
Alaska,67
Indiana,65
Missouri,62
West Virginia,61
Arizona,60
South Dakota,60
Kentucky,59
New Mexico,58
Pennsylvania,57
Massachusetts,57
Louisiana,55
Colorado,55
Wisconsin,55
Michigan,54
Nevada,52
Tennessee,51
Ohio,51
Vermont,51
Texas,50
Kansas,50
North Carolina,50
Arkansas,50
Oklahoma,48
Delaware,48
Alabama,48
Nebraska,47
Virginia,46
Iowa,46
Washington,46
Mississippi,45
Utah,43
South Carolina,41
District of Columbia,41
Hawaii,41
Georgia,41
Illinois,40
Maryland,39
Connecticut,38
Minnesota,38
New Jersey,38
Rhode Island,36
Florida,36
California,27
New York,23
