Category: All categories

Region,friends hate me: (2015)
Alaska,
Louisiana,
Mississippi,
Montana,
Nebraska,
Utah,
Oregon,
Tennessee,100
Arkansas,
Maine,
Massachusetts,100
Pennsylvania,80
Ohio,80
District of Columbia,
New Mexico,
Rhode Island,
New York,80
California,80
Colorado,80
Oklahoma,
Illinois,80
Georgia,80
Connecticut,
New Jersey,60
Washington,60
Texas,60
Missouri,60
Wisconsin,60
Alabama,
Indiana,60
Florida,60
Iowa,
Arizona,40
Virginia,40
Kentucky,
Nevada,
North Carolina,40
Michigan,40
South Carolina,
Maryland,40
Minnesota,20
Delaware,
Hawaii,
Idaho,
Kansas,
North Dakota,
New Hampshire,
South Dakota,
Vermont,
West Virginia,
Wyoming,
