Category: All categories

Region,gay: (2004)
Maine,100
Hawaii,99
Rhode Island,99
New York,99
West Virginia,96
California,94
Massachusetts,93
Florida,93
Louisiana,92
Nevada,91
Vermont,89
Georgia,89
Missouri,88
Illinois,88
New Hampshire,87
Kentucky,87
Pennsylvania,86
Mississippi,85
Washington,85
South Carolina,84
Arkansas,83
Texas,83
Nebraska,83
Michigan,81
District of Columbia,81
Wisconsin,81
Ohio,80
New Jersey,80
Iowa,79
Kansas,79
Wyoming,78
Alabama,78
North Carolina,77
Connecticut,77
Montana,76
North Dakota,76
Minnesota,76
Utah,76
New Mexico,76
Colorado,76
Oklahoma,75
Maryland,75
Arizona,75
Indiana,75
Tennessee,74
Virginia,73
South Dakota,73
Idaho,72
Delaware,71
Alaska,69
Oregon,65
