Category: All categories

Region,gender dysphoria: (2007)
Alaska,100
West Virginia,41
Delaware,36
Maine,19
Mississippi,18
Nevada,17
New Mexico,15
New Hampshire,13
Virginia,7
Missouri,7
Tennessee,7
Oregon,7
Kentucky,7
Massachusetts,4
Maryland,4
Michigan,4
Georgia,4
Illinois,4
Florida,3
California,3
Washington,3
Connecticut,3
Texas,2
North Carolina,2
Minnesota,2
New York,2
New Jersey,2
Alabama,
Arkansas,
Arizona,
Colorado,
District of Columbia,
Hawaii,
Iowa,
Idaho,
Indiana,
Kansas,
Louisiana,
Montana,
North Dakota,
Nebraska,
Ohio,
Oklahoma,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Utah,
Vermont,
Wisconsin,
Wyoming,
