Category: All categories

Region,gender identity: (2018)
District of Columbia,100
Vermont,82
Hawaii,69
Oregon,68
Massachusetts,67
Maine,67
Washington,60
Colorado,59
Iowa,58
Wyoming,58
Nebraska,53
Alaska,53
Rhode Island,53
Delaware,53
New Hampshire,53
New York,52
Missouri,51
Connecticut,51
North Dakota,50
California,50
Minnesota,50
Maryland,48
South Dakota,48
West Virginia,48
Illinois,48
Arkansas,48
Idaho,47
Wisconsin,47
Pennsylvania,46
Michigan,46
Ohio,43
Arizona,43
New Jersey,43
Kansas,43
Virginia,42
Louisiana,41
Indiana,41
North Carolina,41
Montana,40
Alabama,39
New Mexico,37
Utah,35
Florida,35
Georgia,35
South Carolina,35
Mississippi,34
Tennessee,32
Texas,32
Oklahoma,31
Nevada,31
Kentucky,29
