Category: All categories

Region,guilty: (2008)
New Hampshire,100
Hawaii,98
Nevada,97
Connecticut,86
District of Columbia,85
New Jersey,84
Louisiana,84
Tennessee,83
Pennsylvania,82
New York,82
South Carolina,81
Maryland,80
Mississippi,80
Florida,79
Indiana,79
Kentucky,78
Nebraska,78
Oklahoma,76
Massachusetts,76
Arkansas,75
California,74
Michigan,74
Rhode Island,74
Delaware,73
Oregon,73
Arizona,72
Maine,71
Washington,71
Ohio,70
New Mexico,70
Vermont,70
North Carolina,70
Illinois,70
Texas,69
Georgia,69
Missouri,68
Virginia,68
Alabama,68
Kansas,66
Wisconsin,64
West Virginia,63
Minnesota,62
Utah,62
Colorado,61
Iowa,61
Wyoming,57
Alaska,56
Idaho,56
South Dakota,54
Montana,49
North Dakota,44
