Category: All categories

Region,guilty: (2009)
West Virginia,100
Rhode Island,99
Connecticut,98
Nevada,97
Mississippi,96
Hawaii,95
New Jersey,91
Pennsylvania,89
Maine,88
Louisiana,88
Arkansas,87
New York,87
Maryland,86
New Hampshire,85
Massachusetts,85
Delaware,85
Georgia,84
Florida,84
Alabama,84
District of Columbia,84
South Carolina,83
Missouri,83
Tennessee,83
Ohio,83
Michigan,82
Vermont,80
Washington,80
Arizona,79
South Dakota,78
Kentucky,76
Illinois,76
Wyoming,76
Oklahoma,75
Nebraska,75
Indiana,74
Oregon,74
California,73
North Carolina,72
Kansas,71
Texas,71
Montana,70
Wisconsin,68
Colorado,67
New Mexico,64
Utah,64
Minnesota,62
North Dakota,60
Iowa,60
Virginia,56
Idaho,55
Alaska,55
