Category: All categories

Region,guns: (2011)
Wyoming,100
Kentucky,80
Idaho,76
Indiana,74
Oklahoma,74
Alaska,72
Arkansas,71
Utah,71
South Dakota,70
New Mexico,70
Missouri,69
Tennessee,69
West Virginia,69
Nebraska,68
Montana,68
Iowa,67
Washington,67
Arizona,66
South Carolina,64
North Dakota,64
Kansas,63
Louisiana,63
North Carolina,62
Nevada,61
Alabama,61
Colorado,61
Ohio,61
Wisconsin,58
Vermont,58
Illinois,57
New Hampshire,57
Texas,57
Pennsylvania,56
Oregon,54
Virginia,54
Maine,54
Florida,54
Michigan,53
Minnesota,53
Georgia,52
Connecticut,52
Mississippi,51
Delaware,49
California,48
Rhode Island,47
Maryland,47
New Jersey,44
Hawaii,44
Massachusetts,42
New York,38
District of Columbia,35
