Category: All categories

Region,hanging: (2011)
Arkansas,100
Louisiana,97
Mississippi,95
Vermont,92
North Carolina,90
Colorado,90
Pennsylvania,89
Oklahoma,89
Hawaii,88
Alaska,86
Wyoming,85
Montana,85
New Hampshire,83
Idaho,81
South Dakota,81
Texas,80
Virginia,80
Delaware,80
Tennessee,79
West Virginia,79
Indiana,78
Kentucky,78
Ohio,78
California,77
North Dakota,77
New Jersey,76
Alabama,76
Maine,76
Utah,76
Washington,76
Massachusetts,76
Georgia,75
Rhode Island,74
Nebraska,74
Connecticut,74
Florida,74
Kansas,74
Nevada,73
Oregon,73
Illinois,72
Maryland,71
Michigan,71
New Mexico,70
South Carolina,70
Minnesota,70
New York,69
Iowa,69
Arizona,68
Missouri,68
Wisconsin,66
District of Columbia,63
