Category: All categories

Region,hate myself: (2009)
New Hampshire,100
Kentucky,96
Wisconsin,93
Maine,83
Montana,79
Oregon,75
Tennessee,75
Michigan,73
Hawaii,73
Minnesota,73
Idaho,72
Kansas,72
Nevada,71
Arizona,71
Massachusetts,69
New Mexico,69
New York,68
Pennsylvania,66
Utah,65
Ohio,65
Arkansas,64
Mississippi,63
Louisiana,63
Washington,63
Texas,63
Connecticut,62
West Virginia,62
Indiana,60
Nebraska,59
Illinois,56
New Jersey,56
Rhode Island,50
Colorado,49
California,47
Missouri,45
Maryland,43
North Carolina,42
Virginia,41
Georgia,41
Florida,41
Oklahoma,35
South Carolina,29
Iowa,26
Alabama,10
Wyoming,
Alaska,
South Dakota,
District of Columbia,
Delaware,
North Dakota,
Vermont,
