Category: All categories

Region,hate myself: (2019)
Montana,100
Maine,91
West Virginia,91
Utah,80
Missouri,74
Kansas,73
Oregon,73
Indiana,73
Nebraska,72
Ohio,70
Kentucky,69
Washington,68
Massachusetts,68
New Mexico,66
Iowa,66
Pennsylvania,66
Arizona,66
Idaho,65
Alabama,63
Minnesota,63
Oklahoma,63
Michigan,62
Wisconsin,62
Hawaii,60
Connecticut,60
Nevada,60
Illinois,60
North Carolina,59
Colorado,58
Virginia,56
Tennessee,55
Texas,54
Louisiana,53
Georgia,52
South Carolina,52
Arkansas,52
California,51
Rhode Island,51
Mississippi,48
Florida,48
Maryland,48
New Hampshire,47
New Jersey,47
New York,45
Alaska,
North Dakota,
Vermont,
South Dakota,
Wyoming,
Delaware,
District of Columbia,
