Category: All categories

Region,hell: (2010)
Rhode Island,100
West Virginia,94
Arkansas,93
Ohio,90
South Dakota,89
Michigan,87
Kansas,86
Mississippi,85
Maine,85
Kentucky,84
Missouri,84
New Mexico,84
North Carolina,84
Pennsylvania,83
Nebraska,82
Alaska,82
Delaware,82
Texas,81
New Jersey,81
Georgia,80
Alabama,80
South Carolina,80
Indiana,80
Oklahoma,79
Montana,79
Iowa,79
New Hampshire,79
Utah,78
Tennessee,78
North Dakota,78
Wyoming,77
Idaho,77
Florida,77
Nevada,77
Louisiana,77
Oregon,77
Colorado,76
Washington,76
Massachusetts,76
Arizona,75
Wisconsin,74
Illinois,74
New York,74
District of Columbia,73
Connecticut,70
Vermont,68
Maryland,65
Minnesota,65
Hawaii,64
Virginia,56
California,55
