Category: All categories

Region,hell: (2017)
Montana,100
Kentucky,98
Mississippi,98
Tennessee,97
Arkansas,95
Georgia,94
Ohio,93
Alabama,93
Oklahoma,92
Wyoming,91
Missouri,91
Utah,91
West Virginia,88
Louisiana,88
North Carolina,88
Iowa,87
Vermont,87
Alaska,87
Oregon,86
Indiana,86
Pennsylvania,85
Arizona,85
North Dakota,84
Colorado,83
Minnesota,83
Washington,83
New Mexico,82
Michigan,82
Texas,82
District of Columbia,81
Illinois,81
Nebraska,81
Kansas,81
South Dakota,81
California,79
Maryland,78
Maine,78
Nevada,77
Virginia,77
South Carolina,76
Delaware,76
New York,75
Idaho,75
Connecticut,75
New Jersey,75
Massachusetts,75
Wisconsin,74
Rhode Island,73
New Hampshire,72
Florida,67
Hawaii,61
