Category: All categories

Region,homophobia: (2016)
Vermont,100
Wyoming,
Massachusetts,76
Rhode Island,76
Iowa,72
Maryland,72
Maine,70
New York,68
California,68
New Jersey,68
Montana,65
Washington,61
District of Columbia,61
Minnesota,59
Missouri,57
Connecticut,57
Oregon,57
Pennsylvania,57
Wisconsin,57
Delaware,57
New Mexico,55
West Virginia,55
New Hampshire,53
Indiana,53
Virginia,53
Kansas,51
North Carolina,51
Arkansas,51
Illinois,51
Georgia,51
Florida,51
Nevada,48
Arizona,48
Ohio,48
Hawaii,48
Michigan,48
Utah,48
South Carolina,46
Nebraska,44
Mississippi,44
Kentucky,44
North Dakota,42
Tennessee,42
Texas,42
Oklahoma,40
Alabama,40
Colorado,36
Louisiana,36
Alaska,17
Idaho,14
South Dakota,
