Category: All categories

Region,hope: (2004)
Rhode Island,100
Hawaii,76
North Carolina,71
Delaware,68
Arkansas,66
Georgia,66
Michigan,64
New Jersey,62
West Virginia,61
Pennsylvania,61
Minnesota,60
Alaska,60
Tennessee,58
Alabama,54
New Hampshire,53
North Dakota,51
Connecticut,51
Mississippi,51
Kentucky,50
Maryland,50
Nebraska,50
Kansas,50
South Carolina,49
Montana,49
Idaho,48
Ohio,48
Indiana,48
District of Columbia,48
Iowa,47
Virginia,47
Maine,47
Missouri,46
New York,46
California,45
Wyoming,44
Oklahoma,44
Oregon,44
Louisiana,44
Massachusetts,44
Utah,43
Washington,43
Wisconsin,42
Illinois,42
Colorado,39
Texas,38
Arizona,38
Florida,37
Nevada,37
South Dakota,36
Vermont,36
New Mexico,32
