Category: All categories

Region,hope: (2013)
Rhode Island,100
North Carolina,70
Minnesota,58
Arkansas,56
Hawaii,56
Michigan,52
Maine,49
Tennessee,49
New Jersey,49
Pennsylvania,48
Georgia,48
West Virginia,46
Iowa,46
Alabama,44
South Carolina,43
Alaska,43
Nebraska,42
Mississippi,41
North Dakota,41
Kansas,40
District of Columbia,39
Connecticut,39
Missouri,39
Indiana,39
Wisconsin,38
Virginia,38
Massachusetts,37
Kentucky,37
Oklahoma,37
Maryland,37
Colorado,34
Louisiana,34
Delaware,34
Washington,33
Illinois,33
Texas,33
New York,33
South Dakota,32
Ohio,32
Vermont,32
New Mexico,32
California,32
Idaho,31
Florida,31
Utah,31
Arizona,30
Montana,30
Nevada,28
Wyoming,27
New Hampshire,26
Oregon,26
