Category: All categories

Region,hospital visit: (2013)
North Dakota,
West Virginia,100
Maine,
Indiana,73
District of Columbia,
Montana,
Connecticut,60
Maryland,57
Kentucky,57
Pennsylvania,47
Mississippi,47
Massachusetts,47
Illinois,47
New Jersey,47
Virginia,44
Utah,44
New York,42
Wisconsin,42
Rhode Island,42
Tennessee,42
Arizona,42
Ohio,39
Minnesota,39
California,39
Florida,39
Washington,39
Georgia,39
Alaska,
North Carolina,36
Texas,34
Nevada,34
Kansas,34
Alabama,34
Missouri,34
Colorado,31
Michigan,31
South Carolina,28
New Hampshire,28
Idaho,
Oklahoma,23
Louisiana,23
New Mexico,21
Vermont,
Iowa,21
Hawaii,
Arkansas,15
Nebraska,15
Oregon,13
Delaware,
South Dakota,
Wyoming,
