Category: All categories

Region,how to die: (2019)
Wyoming,100
Vermont,99
South Dakota,96
West Virginia,92
Iowa,92
Idaho,91
Alaska,90
Maine,90
Washington,89
Arkansas,89
Nebraska,87
Michigan,87
Utah,85
Indiana,85
Oklahoma,84
Montana,84
Mississippi,84
Kansas,84
New Hampshire,83
Virginia,82
Arizona,80
Kentucky,80
Wisconsin,79
Missouri,79
North Dakota,77
North Carolina,77
Rhode Island,77
New Mexico,76
Illinois,76
Delaware,76
Pennsylvania,75
California,75
Hawaii,74
New Jersey,74
Nevada,74
Texas,73
Ohio,73
Alabama,73
South Carolina,72
Colorado,71
Oregon,70
Tennessee,70
Georgia,70
Louisiana,70
Connecticut,68
Minnesota,67
Massachusetts,66
Florida,60
Maryland,59
New York,56
District of Columbia,44
