Category: All categories

Region,how to do better in school: (2013)
Wyoming,
Delaware,
Hawaii,
Indiana,100
Idaho,
New Mexico,
Oklahoma,55
New Jersey,55
North Carolina,44
Massachusetts,
Iowa,
Nevada,
Georgia,33
Ohio,33
Michigan,33
Virginia,33
Mississippi,
Utah,
New York,33
Pennsylvania,33
Florida,33
Alabama,22
California,22
Texas,22
Illinois,22
Louisiana,22
Tennessee,22
Wisconsin,
Kentucky,
Colorado,11
Maryland,11
Missouri,11
Washington,11
Minnesota,
Alaska,
Arkansas,
Arizona,
Connecticut,
District of Columbia,
Kansas,
Maine,
Montana,
North Dakota,
Nebraska,
New Hampshire,
Oregon,
Rhode Island,
South Carolina,
South Dakota,
Vermont,
West Virginia,
