Category: All categories

Region,I hate my parents: (2010)
Michigan,100
Pennsylvania,84
Ohio,68
Massachusetts,58
Florida,48
Texas,44
Washington,37
Illinois,36
New York,34
North Carolina,33
Georgia,28
California,24
Virginia,22
New Jersey,19
West Virginia,
Rhode Island,
Idaho,
Oklahoma,
Iowa,
Kansas,
Connecticut,
Louisiana,
District of Columbia,
Maryland,
Minnesota,
Oregon,
Arizona,
Missouri,
Alaska,
Nebraska,
New Hampshire,
North Dakota,
New Mexico,
Nevada,
Montana,
Mississippi,
Maine,
Kentucky,
Indiana,
Hawaii,
South Carolina,
South Dakota,
Tennessee,
Delaware,
Utah,
Colorado,
Vermont,
Arkansas,
Wisconsin,
Alabama,
Wyoming,
