Category: All categories

Region,i want to die: (2010)
Delaware,100
Nebraska,58
Alabama,58
New Hampshire,54
Arkansas,54
Rhode Island,49
Ohio,49
New Jersey,46
Kentucky,45
Oklahoma,44
Nevada,43
South Carolina,43
Missouri,43
Iowa,42
North Dakota,42
Mississippi,41
Washington,40
Florida,40
Indiana,39
Pennsylvania,39
New Mexico,39
Tennessee,37
Michigan,37
Wisconsin,37
Oregon,36
Hawaii,36
Kansas,36
Texas,36
Maine,35
South Dakota,35
Massachusetts,35
Montana,35
Arizona,34
Colorado,33
Georgia,33
New York,32
Louisiana,32
Connecticut,31
Illinois,31
Maryland,29
District of Columbia,27
North Carolina,26
West Virginia,25
Minnesota,24
California,22
Virginia,21
Utah,11
Alaska,
Vermont,
Idaho,
Wyoming,
