Category: All categories

Region,i want to die: (2004)
Oklahoma,100
New Hampshire,93
Michigan,87
Connecticut,79
Minnesota,76
Indiana,64
South Carolina,62
New Jersey,61
Ohio,59
Wisconsin,54
Kansas,53
Oregon,51
Massachusetts,49
Maryland,46
Louisiana,46
New York,38
Illinois,36
Florida,36
California,34
District of Columbia,32
North Carolina,29
Alabama,29
Pennsylvania,27
Washington,27
Virginia,27
Texas,27
Georgia,15
Colorado,13
Arizona,11
Vermont,
Alaska,
Nebraska,
New Mexico,
Nevada,
North Dakota,
Montana,
Mississippi,
Missouri,
Maine,
Rhode Island,
Kentucky,
South Dakota,
Tennessee,
Idaho,
Utah,
Iowa,
Hawaii,
Delaware,
Arkansas,
West Virginia,
Wyoming,
