Category: All categories

Region,illegal drugs: (2015)
Iowa,100
South Dakota,97
Alabama,91
Arkansas,91
Alaska,
Idaho,89
Montana,88
Indiana,86
North Carolina,80
Mississippi,80
Kentucky,79
New Mexico,79
West Virginia,79
South Carolina,77
Ohio,74
Kansas,74
Wisconsin,74
New Hampshire,74
Maine,73
Delaware,73
Missouri,73
Arizona,70
Nevada,70
Tennessee,70
North Dakota,
Utah,67
Wyoming,
Georgia,67
Minnesota,64
New Jersey,64
Michigan,64
Pennsylvania,64
Nebraska,62
Oklahoma,62
Vermont,
Florida,59
Rhode Island,59
Hawaii,58
Texas,56
Illinois,56
Maryland,55
California,53
Louisiana,53
Massachusetts,52
Connecticut,50
New York,49
Colorado,47
Washington,46
Oregon,46
District of Columbia,41
Virginia,41
