Category: All categories

Region,illegal drugs: (2017)
West Virginia,100
Alaska,
Iowa,73
South Dakota,71
Wyoming,
Arkansas,69
Indiana,69
New Mexico,68
Mississippi,68
Montana,68
Missouri,65
Nebraska,65
Alabama,64
Wisconsin,64
Idaho,63
Kentucky,63
Vermont,
South Carolina,61
North Carolina,58
Minnesota,57
Oklahoma,56
Utah,56
Ohio,54
Georgia,54
Pennsylvania,54
Delaware,53
New Hampshire,53
Louisiana,52
Michigan,50
Illinois,50
Connecticut,50
Florida,49
Texas,49
Kansas,49
Arizona,47
Maine,47
New Jersey,47
Maryland,47
Virginia,47
Nevada,46
Hawaii,46
Colorado,46
New York,45
District of Columbia,45
Rhode Island,43
Tennessee,42
California,42
Washington,41
Massachusetts,38
Oregon,34
North Dakota,
