Category: All categories

Region,im stupid: (2017)
New Mexico,
Maine,
Delaware,
South Dakota,
Kentucky,100
Nebraska,
Tennessee,95
Missouri,95
Connecticut,95
Oklahoma,90
Alaska,
Alabama,85
Mississippi,85
West Virginia,
Montana,
Michigan,80
Pennsylvania,80
Iowa,80
Ohio,80
Texas,80
Indiana,80
Massachusetts,80
Louisiana,80
New Jersey,75
North Carolina,75
South Carolina,75
California,75
Illinois,75
Georgia,75
Virginia,70
Arizona,70
New York,70
Nevada,70
Florida,70
Arkansas,70
Wyoming,
Wisconsin,65
New Hampshire,
Colorado,60
Washington,60
Utah,60
Rhode Island,
Hawaii,
Minnesota,60
Kansas,55
Oregon,55
District of Columbia,
Idaho,
Maryland,50
North Dakota,
Vermont,
