Category: All categories

Region,jumping: (2008)
Utah,100
Wyoming,99
South Carolina,86
Montana,82
Maine,81
Idaho,81
Rhode Island,79
Arizona,79
North Carolina,77
Colorado,77
Alaska,76
Oregon,76
Vermont,76
New Hampshire,75
South Dakota,74
Louisiana,73
Texas,73
Georgia,72
Nebraska,71
North Dakota,70
Michigan,70
Nevada,69
Delaware,69
Connecticut,69
Arkansas,68
Iowa,68
Missouri,67
Washington,67
New York,67
Minnesota,66
Wisconsin,66
New Mexico,65
New Jersey,65
Maryland,65
Pennsylvania,65
Tennessee,64
Alabama,64
Ohio,64
Oklahoma,63
Kansas,62
Indiana,62
District of Columbia,61
Mississippi,61
Hawaii,59
Massachusetts,59
Kentucky,59
California,59
Florida,58
West Virginia,57
Illinois,57
Virginia,52
