Category: All categories

Region,kill myself: (2010)
North Dakota,100
West Virginia,91
Maine,86
New Mexico,84
Rhode Island,80
Connecticut,78
New Jersey,78
Oklahoma,72
Ohio,70
Delaware,66
Oregon,65
Idaho,64
Pennsylvania,64
Michigan,64
New York,63
Arizona,60
Florida,56
Iowa,56
District of Columbia,55
Hawaii,53
Colorado,53
Illinois,52
Wisconsin,52
Washington,51
Texas,51
Mississippi,50
Kansas,50
Minnesota,49
Alabama,48
Georgia,48
Louisiana,48
Massachusetts,48
Kentucky,47
Utah,47
Nevada,46
Maryland,41
Missouri,40
Tennessee,39
North Carolina,38
Indiana,37
South Dakota,37
Virginia,36
California,30
Arkansas,30
South Carolina,19
Wyoming,
Vermont,
New Hampshire,
Nebraska,
Montana,
Alaska,
