Category: All categories

Region,kill myself: (2006)
Arkansas,100
Iowa,79
Hawaii,67
New Hampshire,60
Kansas,43
District of Columbia,39
Pennsylvania,33
Rhode Island,32
Tennessee,32
Oregon,31
Alabama,30
Wisconsin,30
Michigan,29
Oklahoma,29
Washington,28
Maryland,28
New York,28
Connecticut,26
Missouri,26
New Jersey,25
Indiana,23
Minnesota,23
Texas,22
Florida,21
California,20
Illinois,20
North Carolina,20
Massachusetts,19
Virginia,19
Kentucky,19
Utah,18
Ohio,18
Louisiana,16
Arizona,16
Colorado,13
Georgia,10
Alaska,
Nevada,
New Mexico,
Nebraska,
South Carolina,
South Dakota,
North Dakota,
Montana,
Mississippi,
Maine,
Vermont,
Idaho,
Delaware,
West Virginia,
Wyoming,
