Category: All categories

Region,kill yourself: (2013)
Wyoming,100
Maine,84
Mississippi,79
Vermont,79
Delaware,76
New Hampshire,76
Iowa,75
Kentucky,73
Michigan,69
Pennsylvania,68
Oklahoma,67
South Carolina,66
Indiana,65
West Virginia,64
Utah,64
Nevada,64
Nebraska,64
Ohio,64
Rhode Island,63
Missouri,63
Kansas,63
Arizona,63
Illinois,63
Tennessee,62
Wisconsin,62
Washington,61
Idaho,61
New Jersey,60
Minnesota,60
Colorado,59
Louisiana,59
Virginia,58
Connecticut,58
New Mexico,58
Florida,58
Arkansas,58
Massachusetts,57
Alabama,56
Montana,56
Georgia,56
Alaska,56
Maryland,53
North Carolina,53
New York,52
Texas,51
California,49
Hawaii,48
South Dakota,43
District of Columbia,41
Oregon,37
North Dakota,26
