Category: All categories

Region,kill yourself: (2011)
West Virginia,100
Indiana,90
Utah,89
Nevada,88
New Hampshire,88
Michigan,87
Kentucky,85
Rhode Island,84
New Jersey,83
Ohio,81
Kansas,80
Virginia,80
Arkansas,79
Wisconsin,78
Iowa,78
Pennsylvania,77
New Mexico,77
Massachusetts,76
Connecticut,76
Tennessee,75
Hawaii,75
Oregon,75
Colorado,74
Alabama,72
Delaware,72
Maine,71
Idaho,71
Washington,71
Texas,70
Arizona,69
Nebraska,69
New York,69
Georgia,68
Missouri,68
Wyoming,67
North Carolina,67
Illinois,67
Maryland,66
Louisiana,61
Florida,60
Minnesota,60
Alaska,59
Vermont,58
California,58
South Carolina,53
South Dakota,51
North Dakota,50
Montana,50
Mississippi,49
Oklahoma,46
District of Columbia,44
