Category: All categories

Region,lesbian: (2014)
Kansas,100
Mississippi,98
Arkansas,96
West Virginia,92
Georgia,92
Louisiana,91
Kentucky,90
South Carolina,87
Alabama,86
Indiana,84
Tennessee,83
Arizona,82
Ohio,82
New Jersey,80
North Carolina,80
Nevada,80
Alaska,80
Michigan,79
Missouri,78
Montana,77
Texas,76
Idaho,76
Oklahoma,76
Iowa,76
Florida,76
New Mexico,75
Pennsylvania,75
Illinois,74
New Hampshire,74
Utah,74
Delaware,73
Nebraska,72
Maine,72
Wyoming,72
Massachusetts,72
Wisconsin,71
Rhode Island,71
North Dakota,71
Maryland,71
Colorado,70
New York,70
Virginia,70
Minnesota,68
Connecticut,67
Washington,66
California,63
Vermont,61
South Dakota,61
Hawaii,60
Oregon,59
District of Columbia,50
