Category: All categories

Region,lonely: (2015)
Alaska,100
Maine,95
New Mexico,93
Wyoming,93
Hawaii,91
Arkansas,88
Montana,88
New York,88
Texas,87
Massachusetts,87
West Virginia,86
Tennessee,85
Vermont,85
Washington,85
New Hampshire,84
Rhode Island,82
Virginia,82
North Dakota,82
Colorado,81
District of Columbia,81
California,81
North Carolina,81
Mississippi,81
Louisiana,80
Alabama,80
Michigan,80
Georgia,79
Pennsylvania,79
Kentucky,79
Arizona,78
Nebraska,77
Iowa,77
Idaho,77
South Dakota,77
Oklahoma,76
Illinois,76
South Carolina,75
Kansas,75
Utah,74
Nevada,74
Wisconsin,74
Ohio,74
New Jersey,72
Florida,72
Minnesota,71
Missouri,71
Delaware,70
Connecticut,70
Oregon,68
Indiana,68
Maryland,66
