Category: All categories

Region,lonely: (2021)
Utah,100
Vermont,88
Hawaii,85
Washington,83
Alaska,82
South Dakota,82
Maine,82
Idaho,81
Arizona,81
New Mexico,81
Colorado,81
District of Columbia,80
Wyoming,80
Montana,79
Indiana,77
Michigan,76
California,76
Mississippi,76
Missouri,76
Nebraska,76
Ohio,76
Maryland,76
Iowa,75
North Carolina,75
Massachusetts,75
Arkansas,75
Pennsylvania,74
Tennessee,74
Oregon,73
New Jersey,73
West Virginia,72
Delaware,72
Oklahoma,72
New Hampshire,72
Texas,72
Georgia,72
Rhode Island,71
Kansas,71
Minnesota,70
Virginia,70
Kentucky,70
Wisconsin,69
Illinois,68
New York,67
Alabama,67
North Dakota,66
Florida,66
Nevada,66
Louisiana,65
Connecticut,64
South Carolina,63
