Category: All categories

Region,marijuana: (2016)
Oregon,100
Colorado,94
Maine,80
Washington,75
Alaska,74
Nevada,69
Arizona,63
California,58
Vermont,55
Rhode Island,55
Michigan,52
New Mexico,52
Massachusetts,51
Montana,49
New Hampshire,45
Wyoming,45
Arkansas,45
Hawaii,44
Connecticut,42
North Dakota,41
District of Columbia,39
Florida,38
Idaho,38
Pennsylvania,37
Ohio,37
Oklahoma,37
Indiana,36
Missouri,36
Kentucky,35
West Virginia,35
Illinois,35
Maryland,35
Delaware,34
Utah,34
Kansas,34
Minnesota,34
New York,33
South Dakota,33
Iowa,33
Nebraska,33
Wisconsin,33
New Jersey,32
Texas,31
Louisiana,31
Tennessee,31
Virginia,30
North Carolina,29
Georgia,29
Alabama,28
Mississippi,28
South Carolina,27
