Category: All categories

Region,mental health: (2007)
Vermont,100
Alaska,90
Maine,76
North Dakota,70
Kansas,66
New Hampshire,66
South Carolina,61
Rhode Island,60
Delaware,60
Minnesota,60
Maryland,60
Iowa,59
Colorado,59
Montana,58
North Carolina,57
Oregon,55
Oklahoma,54
Wisconsin,54
Alabama,53
Missouri,52
Mississippi,52
Idaho,51
Massachusetts,50
New Mexico,50
West Virginia,49
New York,49
Michigan,49
Tennessee,48
District of Columbia,48
Washington,47
Utah,46
Louisiana,46
Indiana,45
Wyoming,44
Arkansas,42
Ohio,42
South Dakota,42
Connecticut,41
Nebraska,41
Virginia,41
Kentucky,40
Pennsylvania,39
Illinois,37
Nevada,37
California,36
Florida,35
Georgia,34
New Jersey,32
Hawaii,31
Arizona,29
Texas,26
