Category: All categories

Region,mental health: (2020)
Minnesota,100
New Hampshire,94
Kansas,87
Vermont,83
District of Columbia,83
Montana,80
Iowa,80
Colorado,78
Oklahoma,77
Alaska,77
New York,75
Oregon,74
Washington,74
North Dakota,73
Maryland,73
Mississippi,72
Massachusetts,71
Wisconsin,69
South Carolina,69
Indiana,68
Idaho,68
Wyoming,67
Virginia,67
Utah,67
Nebraska,65
California,64
South Dakota,64
Ohio,63
Tennessee,63
Missouri,63
Pennsylvania,62
Michigan,62
Alabama,62
Connecticut,62
Nevada,61
North Carolina,61
Louisiana,59
New Jersey,59
Delaware,59
Rhode Island,58
Maine,58
Illinois,58
Kentucky,57
Arizona,57
Arkansas,56
Georgia,55
Florida,54
West Virginia,53
Hawaii,50
New Mexico,48
Texas,47
