Category: All categories

Region,miss my ex: (2020)
North Dakota,
Wyoming,
Delaware,
Mississippi,
Hawaii,
New Hampshire,
Nevada,100
Rhode Island,
Louisiana,100
Montana,
Maine,
California,94
Pennsylvania,88
Vermont,
New York,88
Indiana,88
Ohio,82
Oregon,82
Arizona,82
Massachusetts,82
Minnesota,82
Arkansas,
District of Columbia,
New Jersey,82
Texas,82
Florida,82
Illinois,82
Colorado,76
Connecticut,76
Virginia,76
Michigan,76
New Mexico,
Washington,76
Georgia,76
North Carolina,70
Maryland,70
Missouri,70
Tennessee,70
South Carolina,70
Oklahoma,
Nebraska,
Wisconsin,64
Iowa,64
Kansas,
Utah,
South Dakota,
Kentucky,52
Alabama,52
West Virginia,
Alaska,
Idaho,
