Category: All categories

Region,molestation: (2013)
Georgia,100
Rhode Island,94
Indiana,85
Mississippi,77
Oklahoma,73
Louisiana,72
California,66
Missouri,62
South Carolina,62
Tennessee,62
Washington,62
Kansas,62
Arkansas,61
Alabama,61
Delaware,58
Nevada,57
Hawaii,54
Florida,54
Maryland,54
Arizona,54
Virginia,53
Kentucky,53
North Dakota,52
Michigan,52
Idaho,51
West Virginia,51
New Jersey,50
Pennsylvania,50
Illinois,49
New Mexico,48
District of Columbia,48
Ohio,48
Texas,48
North Carolina,48
Wisconsin,47
Iowa,46
New Hampshire,45
Massachusetts,44
New York,42
Nebraska,42
Montana,42
Utah,41
Oregon,39
Colorado,38
Minnesota,38
South Dakota,38
Vermont,36
Connecticut,35
Alaska,35
Wyoming,29
Maine,29
