Category: All categories

Region,moving: (2017)
Kansas,100
Oregon,96
Colorado,96
New York,93
Virginia,92
Arizona,86
Washington,83
Illinois,83
Massachusetts,83
Missouri,82
Maryland,82
Utah,80
Hawaii,80
Georgia,80
Connecticut,80
Texas,79
North Carolina,79
Indiana,79
Nevada,78
Tennessee,78
Wyoming,78
California,77
New Jersey,77
Idaho,77
District of Columbia,77
South Carolina,76
Kentucky,76
Michigan,75
Ohio,75
Nebraska,75
Alaska,75
Arkansas,74
Rhode Island,74
New Hampshire,73
Mississippi,73
Vermont,73
Maine,72
Florida,72
Iowa,72
Minnesota,72
Alabama,72
Pennsylvania,71
Wisconsin,71
New Mexico,70
North Dakota,70
Oklahoma,69
Louisiana,68
Montana,68
Delaware,67
West Virginia,67
South Dakota,65
