Category: All categories

Region,no friends: (2016)
Vermont,100
Hawaii,97
Rhode Island,94
New Jersey,93
West Virginia,88
Massachusetts,87
Connecticut,87
Maine,86
California,85
Arizona,84
Nevada,84
Montana,82
Michigan,82
Pennsylvania,81
Virginia,81
Mississippi,80
South Carolina,80
Louisiana,80
Ohio,79
Oklahoma,79
Maryland,79
New Hampshire,79
New York,79
Indiana,78
Georgia,77
Colorado,77
Missouri,76
Wisconsin,76
Alaska,76
Iowa,76
Arkansas,76
Utah,74
Alabama,74
Florida,73
Kentucky,73
New Mexico,73
Idaho,73
North Carolina,73
Illinois,72
District of Columbia,71
Washington,71
Kansas,71
Delaware,70
Tennessee,70
Minnesota,70
Oregon,70
Wyoming,67
Texas,66
Nebraska,65
South Dakota,62
North Dakota,58
