Category: All categories

Region,no friends: (2004)
Delaware,100
North Dakota,86
Vermont,83
Mississippi,43
Idaho,42
South Carolina,41
Iowa,41
Kentucky,40
West Virginia,37
Nevada,34
New Hampshire,34
Alaska,28
Hawaii,26
Maine,20
Connecticut,18
New Jersey,18
Ohio,17
Maryland,16
Tennessee,16
Florida,13
Washington,13
California,13
Michigan,13
Massachusetts,13
Wisconsin,12
Pennsylvania,12
New York,10
Virginia,9
Illinois,8
Oregon,8
Texas,8
North Carolina,6
Missouri,6
Georgia,6
Colorado,5
Minnesota,5
Arizona,4
District of Columbia,4
Kansas,
Rhode Island,
Oklahoma,
South Dakota,
New Mexico,
Nebraska,
Utah,
Montana,
Arkansas,
Indiana,
Louisiana,
Alabama,
Wyoming,
