Category: All categories

Region,noose: (2021)
Connecticut,100
Oregon,93
Idaho,71
Nevada,68
Montana,67
Rhode Island,66
Hawaii,65
Maine,65
Utah,64
Vermont,64
West Virginia,64
North Dakota,63
New Mexico,61
California,60
South Dakota,60
District of Columbia,60
Arkansas,59
New Hampshire,59
Washington,59
Arizona,59
Oklahoma,59
Georgia,58
Colorado,57
Minnesota,57
Pennsylvania,57
Maryland,57
Virginia,56
Missouri,55
Kentucky,55
Massachusetts,55
Iowa,55
Nebraska,55
Ohio,55
Wisconsin,54
Delaware,54
Kansas,53
Louisiana,53
Indiana,53
Wyoming,52
Illinois,51
Michigan,51
Tennessee,51
Alabama,50
New Jersey,50
Alaska,50
Texas,50
North Carolina,49
South Carolina,47
Florida,44
New York,44
Mississippi,41
