Category: All categories

Region,ocd: (2018)
Rhode Island,100
Pennsylvania,87
Maine,86
Vermont,84
Utah,83
Massachusetts,81
Connecticut,81
New York,78
New Jersey,78
New Hampshire,76
Ohio,75
Illinois,74
Virginia,74
New Mexico,70
West Virginia,70
California,70
Idaho,69
Michigan,69
Delaware,68
North Carolina,68
Wisconsin,68
Iowa,68
Kansas,67
South Dakota,67
Kentucky,66
North Dakota,66
Oregon,65
Montana,64
Nebraska,63
Maryland,63
Minnesota,62
Alaska,62
Washington,61
Oklahoma,61
District of Columbia,60
Wyoming,60
Arkansas,60
Hawaii,59
Texas,59
Georgia,59
Indiana,59
Florida,58
Louisiana,58
Missouri,58
Colorado,57
Alabama,56
Arizona,56
South Carolina,56
Tennessee,55
Mississippi,55
Nevada,54
