Category: All categories

Region,overdose: (2004)
New Mexico,100
Montana,85
West Virginia,83
Louisiana,76
North Dakota,73
Mississippi,68
Utah,65
Indiana,64
Alaska,63
Connecticut,61
Hawaii,60
Missouri,56
Pennsylvania,55
Tennessee,55
Oklahoma,54
Minnesota,54
Kansas,54
Arizona,53
Vermont,53
North Carolina,52
Kentucky,52
Washington,50
Georgia,50
Delaware,50
Oregon,50
Florida,49
Texas,49
Michigan,48
Maryland,47
Nebraska,47
Wisconsin,46
Iowa,46
Virginia,46
Idaho,45
Maine,45
Colorado,45
South Carolina,44
Alabama,44
Ohio,44
Massachusetts,44
Illinois,43
Wyoming,43
Rhode Island,43
Arkansas,40
New York,40
District of Columbia,40
New Jersey,39
California,38
Nevada,38
New Hampshire,31
South Dakota,23
