Category: All categories

Region,painless death: (2010)
Wyoming,
Alaska,
Hawaii,
North Dakota,
Vermont,
Kansas,
Rhode Island,
South Dakota,
Indiana,
Nevada,
Connecticut,
Wisconsin,
Utah,
Washington,
Oklahoma,
Colorado,
North Carolina,
Alabama,
Maryland,
Ohio,100
Missouri,
Minnesota,
Michigan,
New York,75
Pennsylvania,
New Jersey,75
Arizona,
Florida,75
Massachusetts,
Texas,50
California,50
Illinois,50
Virginia,
Arkansas,
District of Columbia,
Delaware,
Georgia,
Iowa,
Idaho,
Kentucky,
Louisiana,
Maine,
Mississippi,
Montana,
Nebraska,
New Hampshire,
New Mexico,
Oregon,
South Carolina,
Tennessee,
West Virginia,
