Category: All categories

Region,parents divorce: (2018)
Idaho,100
Utah,82
Indiana,76
District of Columbia,
Missouri,74
Arkansas,71
Kansas,69
Nebraska,69
Alabama,66
Iowa,66
Connecticut,66
Oklahoma,66
Tennessee,64
Vermont,
Minnesota,64
Georgia,61
Wyoming,
Hawaii,58
Illinois,58
North Dakota,
Alaska,
South Carolina,58
Kentucky,56
South Dakota,
West Virginia,
Massachusetts,56
New York,56
Pennsylvania,56
New Jersey,56
Maryland,56
Texas,53
Wisconsin,53
Colorado,53
Mississippi,51
Delaware,
North Carolina,51
Virginia,51
Washington,51
Maine,
Michigan,48
Nevada,48
Florida,48
Oregon,48
Arizona,48
Ohio,48
New Hampshire,
California,46
New Mexico,
Rhode Island,41
Louisiana,33
Montana,
